foodh,foodr,rent,oper,furn,cloth,tranop,recr
2.7270078455434693e-01,3.5768221286554783e-02,3.5490481158489418e-01,6.8943474574536284e-02,3.3085163170387025e-02,8.5276084479593256e-02,5.1418983441770837e-02,6.4103410235485686e-02
2.5327420861958239e-01,3.3515211623165578e-02,3.9137490537422603e-01,6.0841308964648323e-02,3.5799231488028840e-02,8.9436817039403760e-02,4.4781353802123031e-02,5.6368246121841326e-02
2.3802384606493798e-01,6.1950421942710457e-02,3.0330056996885768e-01,7.5308583120060196e-02,3.5839664611408618e-02,1.0715315349183901e-01,7.6475337921808093e-02,6.2840441799507721e-02
1.7896633424619010e-01,4.7528050683696636e-02,3.2312567280283955e-01,4.9838194396732337e-02,3.7353077323048926e-02,1.0935745040317124e-01,1.6955450251018472e-01,4.5547185766884796e-02
2.1880784822835264e-01,4.0622599799078785e-02,3.9132548078476720e-01,6.1726539131706580e-02,4.0318128257669075e-02,1.0487775315100972e-01,5.4419116657566921e-02,4.9970715587706702e-02
2.0077665177360057e-01,5.6566352861111183e-02,3.7075292359960232e-01,5.7195782366112134e-02,4.3985979101141340e-02,1.1767635425642640e-01,5.7410730460775106e-02,5.4172695060214736e-02
2.0586339831468004e-01,9.2298270047699346e-02,3.4394339809275043e-01,4.0014336433794422e-02,2.6393564458808406e-02,1.1738474527746397e-01,9.6912790314765226e-02,4.4458433149929186e-02
2.1114002551367500e-01,5.4784891700704309e-02,3.7188271500541331e-01,5.7880829799860617e-02,3.9132713646150827e-02,1.1223980123090249e-01,6.2060928534631458e-02,5.1824288035676430e-02
2.0626476736188254e-01,5.5903175398008154e-02,3.7119285770735638e-01,5.8138865097439513e-02,3.9235993706835420e-02,1.1457861503489304e-01,6.4815219233743934e-02,5.0595575220051175e-02
2.0553421103926750e-01,5.5356630218897349e-02,3.7324092741309273e-01,5.7004539326555588e-02,4.2481850304505603e-02,1.1489440436576462e-01,5.7185408595844416e-02,5.3628791881074951e-02
1.9253192631209015e-01,6.6372188487882317e-02,3.4114293592909783e-01,7.1938450455117639e-02,3.2574146919535515e-02,1.1967891794956777e-01,9.2687518932987656e-02,4.3265028089774116e-02
2.0752321814126376e-01,5.6897628867336555e-02,3.6606424084186612e-01,6.0076755964785920e-02,3.7212858052628160e-02,1.1416129524049533e-01,6.9946481512844966e-02,4.9485132422941183e-02
1.5196381459678121e-01,8.3766081600884723e-02,2.8300579799249914e-01,3.9537234226762662e-02,3.7735404948017928e-02,1.1110445754414784e-01,1.9975719859750998e-01,6.8424564509033906e-02
1.9149443087817933e-01,5.9104256402766814e-02,3.6792233111261763e-01,5.8090500105093069e-02,4.1714152348148029e-02,1.2251731820091850e-01,6.9238050269704754e-02,4.9273197623759056e-02
1.6413082955965788e-01,6.6217665378102780e-02,3.6011691096447679e-01,6.0581479441321098e-02,4.0172355517044511e-02,1.3624336984257676e-01,9.1069354134308833e-02,4.0549745062141693e-02
